# L um,San 8K ,L um,San 20K ,L um,san carlos 50K,L um,san carlos 100K,L um,san carlos 200K mir&fir,L um,san 292K
8.29661E+01,1.99706E+01,1.34685E+02,1.19976E+01,8.29661E+01,2.01125E+01,8.29661E+01,2.21072E+01,8.29661E+01,2.84344E+01,8.29661E+01,2.99586E+01
8.28005E+01,2.18193E+01,1.34249E+02,,8.28005E+01,2.30689E+01,8.28005E+01,2.56720E+01,8.28005E+01,3.12971E+01,8.28005E+01,3.06659E+01
8.26355E+01,9.68240E+00,1.33816E+02,,8.26355E+01,1.08644E+01,8.26355E+01,1.48185E+01,8.26355E+01,1.98300E+01,8.26355E+01,2.11331E+01
8.24713E+01,,1.33386E+02,,8.24713E+01,,8.24713E+01,,8.24713E+01,5.01000E-01,8.24713E+01,4.83340E+00
8.23076E+01,,1.32959E+02,,8.23076E+01,,8.23076E+01,,8.23076E+01,,8.23076E+01,
8.21446E+01,,1.32534E+02,,8.21446E+01,,8.21446E+01,,8.21446E+01,,8.21446E+01,
8.19823E+01,9.82250E+00,1.32112E+02,2.30871E+00,8.19823E+01,1.05145E+01,8.19823E+01,1.39474E+01,8.19823E+01,2.20280E+01,8.19823E+01,3.17176E+01
8.18206E+01,2.58762E+01,1.31692E+02,2.83065E+00,8.18206E+01,2.72273E+01,8.18206E+01,3.07555E+01,8.18206E+01,3.79512E+01,8.18206E+01,4.37079E+01
8.16596E+01,2.55500E+01,1.31275E+02,,8.16596E+01,2.67907E+01,8.16596E+01,3.04459E+01,8.16596E+01,3.72251E+01,8.16596E+01,4.18351E+01
8.14991E+01,1.50187E+01,1.30861E+02,,8.14991E+01,1.65771E+01,8.14991E+01,1.99383E+01,8.14991E+01,2.62691E+01,8.14991E+01,3.25379E+01
8.13393E+01,6.17600E-01,1.30450E+02,,8.13393E+01,2.03870E+00,8.13393E+01,5.46580E+00,8.13393E+01,1.10928E+01,8.13393E+01,1.78201E+01
8.11802E+01,,1.30041E+02,,8.11802E+01,,8.11802E+01,,8.11802E+01,4.83720E+00,8.11802E+01,1.16962E+01
8.10216E+01,6.45660E+00,1.29635E+02,1.09782E+01,8.10216E+01,6.46490E+00,8.10216E+01,7.08700E+00,8.10216E+01,1.53046E+01,8.10216E+01,2.31868E+01
8.08636E+01,2.50665E+01,1.29231E+02,2.10221E+01,8.08636E+01,2.53501E+01,8.08636E+01,2.59570E+01,8.08636E+01,3.27586E+01,8.08636E+01,3.92900E+01
8.07063E+01,3.19316E+01,1.28829E+02,1.76720E+01,8.07063E+01,3.26186E+01,8.07063E+01,3.27188E+01,8.07063E+01,4.00046E+01,8.07063E+01,4.52168E+01
8.05496E+01,2.24949E+01,1.28431E+02,,8.05496E+01,2.35278E+01,8.05496E+01,2.40970E+01,8.05496E+01,3.14169E+01,8.05496E+01,3.55322E+01
8.03935E+01,3.23000E+00,1.28034E+02,,8.03935E+01,4.19640E+00,8.03935E+01,6.73150E+00,8.03935E+01,1.29295E+01,8.03935E+01,1.53052E+01
8.02380E+01,,1.27640E+02,,8.02380E+01,,8.02380E+01,,8.02380E+01,,8.02380E+01,
8.00831E+01,,1.27249E+02,,8.00831E+01,,8.00831E+01,,8.00831E+01,,8.00831E+01,
7.99288E+01,,1.26859E+02,,7.99288E+01,,7.99288E+01,,7.99288E+01,3.65270E+00,7.99288E+01,8.19160E+00
