# micron,En90
12.62418,503.28641
12.6165,512.6237
12.60883,524.03027
12.60117,536.61439
12.59352,549.21673
12.58588,560.16815
12.57824,567.86127
12.57062,572.97665
12.56301,576.11087
12.5554,579.01384
12.54781,582.30157
12.54022,585.6875
12.53264,589.75274
12.52508,593.74243
12.51752,596.92173
12.50997,599.9106
12.50243,601.02787
12.49489,598.10554
12.48737,592.63735
12.47986,586.4245
12.47235,578.78649
12.46486,569.41767
12.45737,560.06298
12.44989,553.43902
12.44243,547.97984
12.43497,544.1663
12.42752,541.31063
12.42008,538.34282
12.41264,535.47669
12.40522,531.57183
12.3978,525.7392
12.3904,517.36386
12.383,510.51943
12.37561,504.47825
12.36823,498.83992
12.36086,496.1954
12.3535,496.48584
12.34615,498.96031
12.3388,503.45302
12.33146,508.84582
12.32414,512.71558
12.31682,515.4931
12.30951,519.50406
12.30221,520.5765
12.29492,520.58376
12.28763,523.05272
12.28036,525.7206
12.27309,528.23643
12.26583,533.86124
12.25858,543.21466
12.25134,554.06822
12.24411,564.7737
12.23689,574.93387
12.22967,585.06298
12.22247,594.60615
12.21527,600.55958
12.20808,605.6018
12.2009,611.51251
12.19372,618.20975
12.18656,626.83404
12.1794,639.6028
12.17226,653.99042
12.16512,669.12382
12.15799,685.673
12.15086,701.43658
12.14375,716.76532
12.13664,731.92517
12.12955,745.0078
12.12246,756.73166
12.11538,769.08692
12.1083,782.95746
12.10124,797.09561
12.09418,814.4742
12.08714,834.13759
12.0801,855.29273
12.07306,878.33067
12.06604,901.89094
12.05903,922.98844
12.05202,943.25
12.04502,965.99517
12.03803,986.26309
12.03105,1004.95898
12.02407,1026.20805
12.0171,1048.75861
12.01015,1073.46034
